content,link
日本人看抗日神剧是什么感受？看到徒手撕鬼子那段，他们终于忍不住这样吐槽……,http://www.budejie.com/user/others-20076325.html
辣椒油的做法，送给爱吃辣的孩纸们，美食get√,http://www.budejie.com/user/others-21451241.html
我就想问问商家，你们是不是照着长颈鹿做的衣服？,http://www.budejie.com/user/others-18682920.html
这插画简直太形象了，生活不就是这样吗？,http://www.budejie.com/user/others-21729132.html
凭本事拿的凭什么还？,http://www.budejie.com/user/others-6926599.html
女朋友每次都这样削苹果给我吃，我到底是吃呢还是不吃呢？,http://www.budejie.com/user/others-18682920.html
别人养的狗vs你养的狗，哈哈哈#搞笑图片#,http://www.budejie.com/user/others-20385456.html
每家都有个相亲相爱的群😂😂,http://www.budejie.com/user/others-22906973.html
橘喵：告诉你这片地方是谁说了算！论体重的重要性~,http://www.budejie.com/user/others-18072769.html
很多人压力大到接近崩溃时会忍不住做的一些举止，你也会这样子吗？,http://www.budejie.com/user/others-22880047.html
曝光这个渣男,http://www.budejie.com/user/others-22709735.html
像极了我的高中班主任,http://www.budejie.com/user/others-13943553.html
治愈系漫画《雷》好暖啊,http://www.budejie.com/user/others-22880049.html
这个世界上有两种女人~,http://www.budejie.com/user/others-19794323.html
新旧词汇对比表，了解一下，你到了哪个阶段？,http://www.budejie.com/user/others-18682920.html
「第三代身份证即将来袭」这一变动堪称亲子鉴定！,http://www.budejie.com/user/others-18996959.html
亲爹与亲妈带娃的区别，可以说是亲生的了！,http://www.budejie.com/user/others-22790295.html
有哪些因为书名太骚特别容易错过的佳作？ ,http://www.budejie.com/user/others-22880029.html
好像还真的是这样的,http://www.budejie.com/user/others-22880049.html
这是我听过最悲伤的情话 ​​​​,http://www.budejie.com/user/others-22880043.html
智障年年有，智障何其多,http://www.budejie.com/user/others-22465539.html
打敌人都是人体描边枪法，打队友却是枪枪爆头。,http://www.budejie.com/user/others-22880035.html
今天网上很火的一个问题：下面9种单人房，你最想住哪间？？,http://www.budejie.com/user/others-19794323.html
可口可乐瓶装进化史 ​​​~,http://www.budejie.com/user/others-17588230.html
五菱宏光见过  法拉利也见过，这种合体的还是第一次，这该叫什么车呢?,http://www.budejie.com/user/others-17474065.html
“女生穿阔腿裤是怎么上厕所的？笑死哈哈哈！”,http://www.budejie.com/user/others-19531820.html
地狱滑梯，孩子一屁股下去相当于钻木取火了,http://www.budejie.com/user/others-13943553.html
大叔们有独特的卸水泥管方法,http://www.budejie.com/user/others-20313029.html
这个动物真是浑身都是戏呀！比某小鲜肉强了不知道多少倍～,http://www.budejie.com/user/others-20385456.html
你的家乡话“干什么”是怎么说的？其他人来猜一下是哪里的！😄,http://www.budejie.com/user/others-22863900.html
12星座在什么时候想踢爆对方的狗头？天蝎你们怎么回事！,http://www.budejie.com/user/others-20385456.html
这家理发店太有创意了，烫发时，唱歌打发烫发时间,http://www.budejie.com/user/others-19064947.html
今日话题：和女生聊天有哪些雷区？,http://www.budejie.com/user/others-20385456.html
我摸一下你的女朋友，你不会吃醋吧…哈哈哈,http://www.budejie.com/user/others-20540438.html
大爷乐观起来，还有些八仙过海般的意境 ​,http://www.budejie.com/user/others-18682920.html
这就是瀑布房啊，价格一定不便宜,http://www.budejie.com/user/others-19064947.html
简单粗暴，妹子，你这是在报复男人吗？,http://www.budejie.com/user/others-21820888.html
蛇精病摄影，感受一下,http://www.budejie.com/user/others-8841843.html
一句话证明你比我节约,http://www.budejie.com/user/others-17474065.html
敢不敢诚实地说出你心中的排序________ ？​ ​​​​,http://www.budejie.com/user/others-19779491.html
小宝贝来理发，发型师问睫毛要不要一起剪了~,http://www.budejie.com/user/others-17588230.html
这筷子用的，这叫一个6，肯定是个假外国人,http://www.budejie.com/user/others-18614232.html
【涨知识】非洲这些美食，你能接受吗？,http://www.budejie.com/user/others-18677415.html
大家一起来念念,http://www.budejie.com/user/others-11996791.html
天下武功唯快不破…怎么样，我这手速还阔以吧!,http://www.budejie.com/user/others-20540438.html
不用去验 血，就能知道自己缺 啥！这张表一定要收好~,http://www.budejie.com/user/others-8841843.html
看懂这幅图的年纪都不小了吧？你今年几岁呢？,http://www.budejie.com/user/others-22548600.html
一觉醒来会收到一个好消息 ​​​​，你希望是什么？,http://www.budejie.com/user/others-19779491.html
为了考个驾照，都晒黑了！,http://www.budejie.com/user/others-13943553.html
早上起来洗脸，水管里出来的都是可乐，我是不是要发财了？,http://www.budejie.com/user/others-20385456.html
“吃什么会胖哪里系列”。。你们懂的~ ​​​,http://www.budejie.com/user/others-19890508.html
男子吃一块隔夜冰西瓜竟致小肠坏死！很多人还在这样吃,http://www.budejie.com/user/others-21601008.html
实名曝光8个渣男，大家千万小心！！,http://www.budejie.com/user/others-8841843.html
这名字取的跟闹着玩似的，姐夫们能不能给他们改个好听的名字,http://www.budejie.com/user/others-17474065.html
刚买的西瓜，是不是西瓜还没熟就是这个样子的？,http://www.budejie.com/user/others-13943553.html
如果狒狒会说人话，他肯定是在说：喂…你怎么只给我吃了一口就跑了呀，我还没吃饱啊…喂喂喂…给我回来呀！哈哈哈,http://www.budejie.com/user/others-19779491.html
你的房子失火了，你只能选择一样东西，你会救什么？,http://www.budejie.com/user/others-22675409.html
这就是为啥说《夏洛特烦恼》和《西虹市首富》是姊妹篇,http://www.budejie.com/user/others-18136453.html
据说每个人或多或少都有点强迫症，说一说你最受不了什么？,http://www.budejie.com/user/others-19794323.html
“你开的什么车？” “宝马！”,http://www.budejie.com/user/others-19871331.html
一个人的城市...自己给自己过了个生日...祝我生日快乐....祝我生日......,http://www.budejie.com/user/others-21221120.html
街头采访：如果一个28岁收入只有4000的男人向你求婚，你愿意吗？,http://www.budejie.com/user/others-18996959.html
无论“药神”还是“首富”都告诉你一个真理：没事还是多挣点钱吧~,http://www.budejie.com/user/others-19531820.html
在你们那儿这东西叫啥名字？多少钱一套？,http://www.budejie.com/user/others-19779491.html
我的天呢，四胞胎千金，这是上辈子拯救银河系了吧,http://www.budejie.com/user/others-19064947.html
【涨知识】脸上9个不同部位长痘的原因和改善方法,http://www.budejie.com/user/others-18677415.html
这个雨下的有点任性啊,http://www.budejie.com/user/others-22830335.html
大爷：“我记得网上就这么弄的啊，我吸~~我吸~~咋不管用呢？”,http://www.budejie.com/user/others-19889419.html
你要是有这一套装备，你打算痴迷哪款游戏？,http://www.budejie.com/user/others-20313029.html
第一次看到这场面，激动得我把自己的航班给忘记了，怎么办啊？我能上前去问问么？,http://www.budejie.com/user/others-18682920.html
经常熬夜后果太可怕，不要拿自己的身体开玩笑,http://www.budejie.com/user/others-18136453.html
越南版《太阳的后裔》海报，这颜值好高啊,http://www.budejie.com/user/others-22817553.html
今日互动：你喜欢歌神吗？喜欢的话就在评论区唱一段他的歌曲吧～,http://www.budejie.com/user/others-20385456.html
屠杀、炸碎，灭门、逃难、流血，你无法想象克罗地亚球员们经历过什么！,http://www.budejie.com/user/others-19871331.html
能不能吃饱全靠演技了！,http://www.budejie.com/user/others-15797873.html
《我不是药神》为海报抄袭道歉，但网友并不接受～,http://www.budejie.com/user/others-20385456.html
咋样？今天买回来的二哈纯不纯？,http://www.budejie.com/user/others-20385456.html
大脚趾头踢门上了吗？？？来来来，根据你亲身经历的事情，对照图片的表情，来配个音 看谁配得惨……,http://www.budejie.com/user/others-20208094.html
这沙雕图有多少人看得懂..............,http://www.budejie.com/user/others-21221120.html
还有这种耕地方式？这速度与激情堪比海上冲浪，厉害了！,http://www.budejie.com/user/others-16346788.html
我快30了，坐在自行车上真的笑不出来,http://www.budejie.com/user/others-20938556.html
哥们，你就是雨天里最亮的那颗星！,http://www.budejie.com/user/others-16746384.html
 2018世界杯，完全是按照国名进行淘汰的。不信？可以来看看结果。,http://www.budejie.com/user/others-18470527.html
妻管严下的男主角生活，真的好有爱啊,http://www.budejie.com/user/others-18614232.html
法国队夺冠了，但我们也要向亚军克罗地亚致敬！,http://www.budejie.com/user/others-17588230.html
法国夺冠，华帝退款却成退7900万购物卷，成功营销后顾客被当猴耍,http://www.budejie.com/user/others-18996959.html
出差回来，老婆亲自下厨，说多吃点绿色食物，健康！姐夫们猜猜是什么菜？,http://www.budejie.com/user/others-16672078.html
1998-2018，你的青春等于几届世界杯？,http://www.budejie.com/user/others-17588230.html
今日话题：在你们老家这个游戏叫什么呢？,http://www.budejie.com/user/others-20763203.html
【周末狂欢/活动精选】冯小刚《十问崔永元》策划始末,http://www.budejie.com/user/others-17588230.html
为什么日本这么发达，一场暴雨却死了200人？,http://www.budejie.com/user/others-18996959.html
电视剧必备套路。。。欢迎补充,http://www.budejie.com/user/others-18996959.html
感情里，哪些女生最容易让男生泡到手？,http://www.budejie.com/user/others-18809558.html
【周末狂欢/活动精选】第二个难道不是正确用法么？,http://www.budejie.com/user/others-20385456.html
【周末狂欢/活动精选】看完《我不是药神》，我们采访了1000个在外漂泊的90后,http://www.budejie.com/user/others-8841843.html
我不是药神，别让“药企”成为替罪羊！ ​,http://www.budejie.com/user/others-18682920.html
今日话题：请在30秒内说明你为什么没女朋友？看看谁的理由更秀～,http://www.budejie.com/user/others-20763203.html
还有多少记得这部电影？说一个里面的经典角色是谁扮演的证明你看过吧～,http://www.budejie.com/user/others-20385456.html
没有最烂，只有更烂……心疼你们,http://www.budejie.com/user/others-12713701.html
论汗毛我只服你，你是来自花果山的妹子吧,http://www.budejie.com/user/others-19064947.html
黄健翔谈“解散国足”言论：不是不可以批评 但是别张嘴胡来,http://www.budejie.com/user/others-19794323.html
这～这是我昨晚看见的克罗地亚铁血队长莫德里奇吗？小媳妇的画风不忍直视啊！,http://www.budejie.com/user/others-18996959.html
最近遇到了育儿难题。。。 ​​​​,http://www.budejie.com/user/others-18682920.html
老板，你看我们这力度还行吗,http://www.budejie.com/user/others-17474065.html
按照这妹子的角度，力度，我承认我一脚都接不下来,http://www.budejie.com/user/others-22408767.html
2018世界杯半决赛中，克罗地亚2-1英格兰，史上首次打入世界杯决赛，将于15日与法国队争夺本届世界杯冠军,http://www.budejie.com/user/others-20938556.html
感谢世界杯，它被拖走了，解脱了,http://www.budejie.com/user/others-18682920.html
替崔永元十答冯小刚,http://www.budejie.com/user/others-17588230.html
王传君称《爱情公寓》后来像广告片：为什么还要拍电影？,http://www.budejie.com/user/others-21368346.html
药神这么火，你知道药为啥卖到天价吗？,http://www.budejie.com/user/others-18996959.html
女神就是这个范儿，连坐姿都这么优美,http://www.budejie.com/user/others-19064947.html
说吧，这么热的天，今晚你准备吃什么？,http://www.budejie.com/user/others-20313029.html
看你能不能等到一个全部一样的有缘人……,http://www.budejie.com/user/others-8841843.html
【今日话题】说一说你的同事或朋友做出哪些行为哪件事让你很反感？,http://www.budejie.com/user/others-7048910.html
【当时我就震惊了/活动精选】恭喜你没有喜当爹,http://www.budejie.com/user/others-22465539.html
【百思电台】读给你听，从你的全世界路过。欢迎大家深情告白,http://www.budejie.com/user/others-16745756.html
奇迹！泰国12名足球少年被困洞穴18天，终获救！这场跨国救援轰动全球，没什么比生命更可贵！ ￼ ,http://www.budejie.com/user/others-18682920.html
要是能选历史上的一个人复活，你选谁？网友：选高俅，参加世界杯,http://www.budejie.com/user/others-19779491.html
老外：中国人不喜欢吃牛排是因为太贵吗？中国网友的话扎心了！,http://www.budejie.com/user/others-20938556.html
让人羡慕的发量 ！ ​​​现在的你，发量还好吗？,http://www.budejie.com/user/others-19779491.html
我只想给你给你宠爱，这算不算不算爱,http://www.budejie.com/user/others-8841843.html
今日话题：自我检讨一下为什么没有女朋友？,http://www.budejie.com/user/others-20385456.html
英国漫画家Alex Norris作品，看完之后心中只剩一句卧槽！,http://www.budejie.com/user/others-13943553.html
知乎最高赞：跟中国年轻人相比，为何美国年轻人不那么在乎房子？,http://www.budejie.com/user/others-19794323.html
 最近撩妹技能get✔,http://www.budejie.com/user/others-22080273.html
今日话题：你所看过的动漫里哪个蠢萌角色给你的印象最深？出自哪里？,http://www.budejie.com/user/others-20385456.html
盘点，历史上那些“性价比”超高的广告，蒙牛、贪玩蓝月、杜蕾斯……,http://www.budejie.com/user/others-20076325.html
【今日话题】你为你喜欢的人，做过什么很难忘的事？,http://www.budejie.com/user/others-7048910.html
为什么要打宝宝？ 最后一跺脚，萌翻了,http://www.budejie.com/user/others-8841843.html
1个好父亲 = 200个老师，爸爸在孩子的教育中真的不可缺位，当爹的要好好看看！！！ ​​​,http://www.budejie.com/user/others-19890508.html
男票是不是也这样抱着你入睡,http://www.budejie.com/user/others-17474065.html
 和闺蜜聊天，我就说为了我的下一代着想，我得找个帅哥结婚。,http://www.budejie.com/user/others-22321110.html
 给儿子买了一件秋衣，上面印有熊大熊二，到幼儿园儿子就把外套脱了，到处给小朋友炫耀。,http://www.budejie.com/user/others-22286296.html
勿忘国耻：七七事变卢沟桥，鬼子恶行罪连连。中华热血好儿女，前赴后继把身献。邪恶岂能终正义，大刀送他上西天。,http://www.budejie.com/user/others-22812874.html
 昨天下雨了，刚回家没多久，就传来了急促的敲门，开门看到是隔壁邻居张大爷，问我家是不是起火了，说他闻到有焦臭味，熏得他睁不开眼睛！,http://www.budejie.com/user/others-21601008.html
 想当年大一的时候，得了痔疮，开始用卫生纸垫着还是会弄到内裤上血，逛超市的时候看到女生买卫生巾，我突然脑子灵光一闪，我觉得我也可以用啊，于是就去离学校很远的地方买了卫生巾垫上了，说实话确实好用啊，直到有一次打篮球打的太激烈了，卫生巾顺着裤腿掉了下来，周围突然的安静，然后又突然爆发排山倒海的欢呼，我拼命大喊我是痔疮才用的声音他们根本不听啊……,http://www.budejie.com/user/others-22368727.html
 闺蜜来家里叫老婆去逛街，老婆问我要钱。她温柔的告诉我:老公，我想和闺蜜去逛街！能不能给我点钱啊！我坐沙发上，翘着二郎腿抽着烟问她:20行不行啊？老婆想了想说:……20就20吧！！她闺蜜在一旁猛夸我:可以啊！能把我这闺蜜收拾的服服帖帖的！厉害啊！！我被夸的飘飘欲仙的！很熟练的掏出钱包，拿出20块钱……然后把钱包给了老婆…,http://www.budejie.com/user/others-20588362.html
那我真是比狐狸精厉害多了……,http://www.budejie.com/user/others-19531820.html
北冥有狗，其为哈。一哈顶三虎，三哈沉航母，五哈斗上帝，十哈创世纪，百哈毁灭银河系，千哈称霸宇宙第一。指令听不懂，拆家不用说，不会汪汪叫，就会呜呜呜。俗话说，狼若回头，必有缘由，不是报恩，就是报仇，二哈回头，日子到头，不是拆家，就是拆楼!,http://www.budejie.com/user/others-15043252.html
摧毁你健康的，是人人信以为真的这十大好习惯！,http://www.budejie.com/user/others-20385456.html
100条行走社会的经验、共勉！姐夫们也一起分享一下！,http://www.budejie.com/user/others-19871331.html
【今日话题】你遇到过什么灵异事件？或长辈给你讲的灵异故事？,http://www.budejie.com/user/others-7048910.html
世界杯快结束了  请在一句话里表达你丰富的感情 用语音的话更好哟~,http://www.budejie.com/user/others-19721275.html
 对中年油腻男来说，什么是幸福？,http://www.budejie.com/user/others-22565804.html
后来的我们，各奔东西，你，有没有什么话，想对曾经的那个她说？你们之间有什么故事，愿不愿意分享出来？,http://www.budejie.com/user/others-11081538.html
